Player,POS
Luka Doncic,PG
Giannis Antetokounmpo,PF
Shai Gilgeous-Alexander,PG
Jalen Brunson,PG
Kevin Durant,PF
Devin Booker,SG
Jayson Tatum,SF
De'Aaron Fox,PG
Stephen Curry,PG
Nikola Jokic,C
Tyrese Maxey,PG
Anthony Edwards,SG
LeBron James,SF
Kyrie Irving,PG
Anthony Davis,PF
Damian Lillard,PG
DeMar DeRozan,SF
Kawhi Leonard,SF
Jaylen Brown,SG
Zion Williamson,PF
Cade Cunningham,PG
Paul George,F
Paolo Banchero,PF
Jaren Jackson Jr.,PF
Dejounte Murray,SG
Cam Thomas,SG
Kyle Kuzma,SF
Karl-Anthony Towns,C
Pascal Siakam,PF
Victor Wembanyama,C
Jamal Murray,PG
Alperen Sengun,C
Miles Bridges,SF
Brandon Ingram,SF
Jimmy Butler,SF
RJ Barrett,SG
Tyrese Haliburton,PG
CJ McCollum,SG
Scottie Barnes,SF
Terry Rozier,SG
Franz Wagner,SF
Jalen Green,SG
Mikal Bridges,SF
Devin Vassell,SG
Domantas Sabonis,PF
Bam Adebayo,C
Coby White,PG
Jalen Williams,F
Collin Sexton,PG
Nikola Vucevic,C
D'Angelo Russell,PG
Klay Thompson,SG
Fred VanVleet,PG
Jordan Poole,SG
Brandon Miller,F
Tobias Harris,PF
Myles Turner,C
Immanuel Quickley,SG
Bogdan Bogdanovic,SG
Michael Porter Jr.,SF
James Harden,SG
Chet Holmgren,PF
Jarrett Allen,C
Jonathan Kuminga,PF
Austin Reaves,SG
Keldon Johnson,SF
Donte DiVincenzo,SG
Kelly Oubre Jr.,SG
Malik Monk,SG
Jaden Ivey,PG
Keegan Murray,SF
Derrick White,PG
John Collins,PF
Deni Avdija,SF
Bennedict Mathurin,SG
Tim Hardaway Jr.,SF
Dennis Schroder,PG
Caris LeVert,SG
Scoot Henderson,G
Rudy Gobert,C
Norman Powell,G
Aaron Gordon,PF
Jalen Duren,C
Bobby Portis,F
Jabari Smith Jr.,PF
Gary Trent Jr.,SG
Saddiq Bey,SF
Rui Hachimura,PF
Grayson Allen,SG
Naz Reid,C
Cameron Johnson,SF
Corey Kispert,SF
Andrew Wiggins,SF
Keyonte George,G
Duncan Robinson,F
P.J. Washington,PF
Dillon Brooks,SF
Jalen Suggs,SG
